non_shiftable_load,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,hour,day_type,electricity_pricing,outdoor_dry_bulb_temperature,solar_generation,carbon_intensity,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,month
2.18875,18.3,22.8,20.0,81,68,81,25,964,0,100,815,0,0.22,0.22,0.22,24,7,0.22,20.0,0.0,0.1707244,84,0,0,7
1.3706666,19.4,22.8,19.4,79,71,87,201,966,0,444,747,0,0.22,0.22,0.22,1,1,0.22,20.1,0.0,0.15731905,79,0,0,8
1.10125,21.1,22.2,19.4,73,73,87,420,683,0,592,291,0,0.22,0.22,0.22,2,1,0.22,19.7,0.0,0.15450256,78,0,0,8
0.54321665,22.2,22.8,19.4,71,71,90,554,522,0,491,153,0,0.22,0.22,0.22,3,1,0.22,19.3,0.0,0.15094487,78,0,0,8
0.5428333,21.7,22.2,18.9,73,71,90,778,444,0,734,174,0,0.22,0.54,0.22,4,1,0.22,18.9,0.0,0.15181987,78,0,0,8
1.5124333,22.2,21.1,18.3,71,76,93,903,392,0,811,396,0,0.22,0.54,0.22,5,1,0.22,18.3,0.0,0.15808822,81,0,0,8
0.34868333,22.8,20.6,18.9,68,78,90,964,231,15,815,320,14,0.22,0.54,0.22,6,1,0.22,18.3,5.608333,0.16193937,81,25,100,8
0.67861664,22.8,20.6,20.0,71,73,87,966,27,116,747,143,42,0.22,0.54,0.22,7,1,0.22,19.4,29.5,0.16434596,79,201,444,8
1.5065,22.2,20.0,20.0,73,76,87,683,0,252,291,0,74,0.22,0.54,0.22,8,1,0.22,21.1,96.754166,0.19099815,73,420,592,8
1.6521167,22.8,20.6,20.0,71,70,84,522,0,292,153,0,35,0.22,0.22,0.22,9,1,0.22,22.2,225.45416,0.20289886,71,554,491,8
2.7347834,22.2,20.6,21.7,71,73,76,444,0,436,174,0,95,0.54,0.22,0.22,10,1,0.22,21.7,366.8,0.21287169,73,778,734,8
2.6559972666666667,21.1,19.4,21.7,76,81,73,392,0,604,396,0,209,0.54,0.22,0.22,11,1,0.22,22.2,491.59583,0.22570992,71,903,811,8
2.5772111333333334,20.6,20.0,22.2,78,81,71,231,0,589,320,0,144,0.54,0.22,0.22,12,1,0.22,22.8,578.87085,0.23460789,68,964,815,8
2.498425,20.6,19.4,21.0,73,87,78,27,0,554,143,0,133,0.54,0.22,0.22,13,1,0.22,22.8,624.8458,0.2428607,71,966,747,8
2.4196388666666664,20.0,19.4,21.0,76,87,78,0,0,907,0,0,685,0.54,0.22,0.22,14,1,0.22,22.2,631.1875,0.24223925,73,683,291,8
2.340852733333333,20.6,19.4,22.8,70,90,68,0,0,789,0,0,777,0.22,0.22,0.22,15,1,0.22,22.8,600.2708,0.2426803,71,522,153,8
2.2620666,20.6,18.9,22.8,73,90,67,0,0,631,0,0,703,0.22,0.22,0.54,16,1,0.54,22.2,514.5125,0.24524967,71,444,174,8
0.9674501,19.4,18.3,22.2,81,93,68,0,0,443,0,0,585,0.22,0.22,0.54,17,1,0.54,21.1,384.975,0.24614695,76,392,396,8
0.16195008,20.0,18.9,23.3,81,90,79,0,15,245,0,14,337,0.22,0.22,0.54,18,1,0.54,20.6,210.17084,0.24275939,78,231,320,8
0.0059500607,19.4,20.0,22.8,87,87,68,0,116,27,0,42,147,0.22,0.22,0.54,19,1,0.54,20.6,18.841667,0.24150947,73,27,143,8
0.35833338,19.4,20.0,22.8,87,87,61,0,252,0,0,74,0,0.22,0.22,0.54,20,1,0.54,20.0,0.0,0.24358909,76,0,0,8
1.5845,19.4,20.0,20.0,90,84,84,0,292,0,0,35,0,0.22,0.22,0.22,21,1,0.22,20.6,0.0,0.2407392,70,0,0,8
2.5612333,18.9,21.7,20.6,90,76,78,0,436,0,0,95,0,0.22,0.22,0.22,22,1,0.22,20.6,0.0,0.22927038,73,0,0,8
1.4342,18.3,21.7,20.6,93,73,78,0,604,0,0,209,0,0.22,0.22,0.22,23,1,0.22,19.4,0.0,0.21529473,81,0,0,8
2.1675583,18.9,22.2,19.4,90,71,79,15,589,0,14,144,0,0.22,0.22,0.22,24,1,0.22,20.0,0.0,0.19157887,81,0,0,8
2.9009166,20.0,21.0,20.0,87,78,78,116,554,0,42,133,0,0.22,0.22,0.22,1,2,0.22,19.4,0.0,0.17271361,87,0,0,8
2.2597833,20.0,21.0,19.4,87,78,84,252,907,0,74,685,0,0.22,0.22,0.22,2,2,0.22,19.4,0.0,0.1668173,87,0,0,8
1.4480667,20.0,22.8,19.4,84,68,84,292,789,0,35,777,0,0.22,0.22,0.22,3,2,0.22,19.4,0.0,0.16352855,90,0,0,8
1.1343666,21.7,22.8,19.4,76,67,84,436,631,0,95,703,0,0.22,0.54,0.22,4,2,0.22,18.9,0.0,0.16253123,90,0,0,8
0.35226667,21.7,22.2,18.9,73,68,87,604,443,0,209,585,0,0.22,0.54,0.22,5,2,0.22,18.3,0.0,0.16735874,93,0,0,8
0.34945,22.2,23.3,19.4,71,79,84,589,245,27,144,337,144,0.22,0.54,0.22,6,2,0.22,18.9,5.7625,0.1707615,90,15,14,8
1.7421,21.0,22.8,21.1,78,68,76,554,27,192,133,147,395,0.22,0.54,0.22,7,2,0.22,20.0,29.445833,0.18388951,87,116,42,8
0.60545,21.0,22.8,22.8,78,61,66,907,0,404,685,0,609,0.22,0.54,0.22,8,2,0.22,20.0,94.69583,0.19780493,87,252,74,8
2.4703333,22.8,20.0,24.4,68,84,64,789,0,611,777,0,730,0.22,0.22,0.22,9,2,0.22,20.0,221.7,0.21082877,84,292,35,8
1.9930333,22.8,20.6,23.9,67,78,66,631,0,778,703,0,793,0.54,0.22,0.22,10,2,0.22,21.7,358.94583,0.22337624,76,436,95,8
1.93464165,22.2,20.6,25.0,68,78,62,443,0,897,585,0,811,0.54,0.22,0.22,11,2,0.22,21.7,480.34583,0.23930867,73,604,209,8
1.87625,23.3,19.4,25.0,79,79,58,245,0,958,337,0,815,0.54,0.22,0.22,12,2,0.22,22.2,569.8333,0.24476917,71,589,144,8
1.30285,22.8,20.0,25.0,68,78,58,27,0,960,147,0,819,0.54,0.22,0.22,13,2,0.22,21.0,613.0333,0.24356763,78,554,133,8
1.2250501,22.8,19.4,24.4,61,84,58,0,0,901,0,0,812,0.54,0.22,0.22,14,2,0.22,21.0,619.8375,0.24330084,78,907,685,8
1.86098345,20.0,19.4,25.0,84,84,56,0,0,790,0,0,771,0.22,0.22,0.22,15,2,0.22,22.8,584.30835,0.24916068,68,789,777,8
2.4969168,20.6,19.4,23.9,78,84,64,0,0,632,0,0,604,0.22,0.22,0.54,16,2,0.54,22.8,508.32916,0.25086278,67,631,703,8
0.869,20.6,18.9,23.3,78,87,64,0,0,362,0,0,293,0.22,0.22,0.54,17,2,0.54,22.2,386.25833,0.2472611,68,443,585,8
0.30870003,19.4,19.4,22.8,79,84,64,0,27,124,0,144,31,0.22,0.22,0.54,18,2,0.54,23.3,215.46666,0.23651384,79,245,337,8
