month,hour,day_type,daylight_savings_status,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,carbon_intensity
7,24,7,0,2.18875,0,0,0,0.0,20.0,84,0,0,18.3,22.8,20.0,81,68,81,25,964,0,100,815,0,0.22,0.22,0.22,0.22,0.1707244
8,1,1,0,1.3706666,0,0,0,0.0,20.1,79,0,0,19.4,22.8,19.4,79,71,87,201,966,0,444,747,0,0.22,0.22,0.22,0.22,0.15731905
8,2,1,0,1.10125,0,0,0,0.0,19.7,78,0,0,21.1,22.2,19.4,73,73,87,420,683,0,592,291,0,0.22,0.22,0.22,0.22,0.15450256
8,3,1,0,0.54321665,0,0,0,0.0,19.3,78,0,0,22.2,22.8,19.4,71,71,90,554,522,0,491,153,0,0.22,0.22,0.22,0.22,0.15094487
8,4,1,0,0.5428333,0,0,0,0.0,18.9,78,0,0,21.7,22.2,18.9,73,71,90,778,444,0,734,174,0,0.22,0.22,0.54,0.22,0.15181987
8,5,1,0,1.5124333,0,0,0,0.0,18.3,81,0,0,22.2,21.1,18.3,71,76,93,903,392,0,811,396,0,0.22,0.22,0.54,0.22,0.15808822
8,6,1,0,0.34868333,0,0,0,5.608333,18.3,81,25,100,22.8,20.6,18.9,68,78,90,964,231,15,815,320,14,0.22,0.22,0.54,0.22,0.16193937
8,7,1,0,0.67861664,0,0,0,29.5,19.4,79,201,444,22.8,20.6,20.0,71,73,87,966,27,116,747,143,42,0.22,0.22,0.54,0.22,0.16434596
8,8,1,0,1.5065,0,0,0,96.754166,21.1,73,420,592,22.2,20.0,20.0,73,76,87,683,0,252,291,0,74,0.22,0.22,0.54,0.22,0.19099815
8,9,1,0,1.6521167,0,0,0,225.45416,22.2,71,554,491,22.8,20.6,20.0,71,70,84,522,0,292,153,0,35,0.22,0.22,0.22,0.22,0.20289886
8,10,1,0,2.7347834,0,0,0,366.8,21.7,73,778,734,22.2,20.6,21.7,71,73,76,444,0,436,174,0,95,0.22,0.54,0.22,0.22,0.21287169
8,11,1,0,2.6559972666666667,0,0,0,491.59583,22.2,71,903,811,21.1,19.4,21.7,76,81,73,392,0,604,396,0,209,0.22,0.54,0.22,0.22,0.22570992
8,12,1,0,2.5772111333333334,0,0,0,578.87085,22.8,68,964,815,20.6,20.0,22.2,78,81,71,231,0,589,320,0,144,0.22,0.54,0.22,0.22,0.23460789
8,13,1,0,2.498425,0,0,0,624.8458,22.8,71,966,747,20.6,19.4,21.0,73,87,78,27,0,554,143,0,133,0.22,0.54,0.22,0.22,0.2428607
8,14,1,0,2.4196388666666664,0,0,0,631.1875,22.2,73,683,291,20.0,19.4,21.0,76,87,78,0,0,907,0,0,685,0.22,0.54,0.22,0.22,0.24223925
8,15,1,0,2.340852733333333,0,0,0,600.2708,22.8,71,522,153,20.6,19.4,22.8,70,90,68,0,0,789,0,0,777,0.22,0.22,0.22,0.22,0.2426803
8,16,1,0,2.2620666,0,0,0,514.5125,22.2,71,444,174,20.6,18.9,22.8,73,90,67,0,0,631,0,0,703,0.54,0.22,0.22,0.54,0.24524967
8,17,1,0,0.9674501,0,0,0,384.975,21.1,76,392,396,19.4,18.3,22.2,81,93,68,0,0,443,0,0,585,0.54,0.22,0.22,0.54,0.24614695
8,18,1,0,0.16195008,0,0,0,210.17084,20.6,78,231,320,20.0,18.9,23.3,81,90,79,0,15,245,0,14,337,0.54,0.22,0.22,0.54,0.24275939
8,19,1,0,0.0059500607,0,0,0,18.841667,20.6,73,27,143,19.4,20.0,22.8,87,87,68,0,116,27,0,42,147,0.54,0.22,0.22,0.54,0.24150947
8,20,1,0,0.35833338,0,0,0,0.0,20.0,76,0,0,19.4,20.0,22.8,87,87,61,0,252,0,0,74,0,0.54,0.22,0.22,0.54,0.24358909
8,21,1,0,1.5845,0,0,0,0.0,20.6,70,0,0,19.4,20.0,20.0,90,84,84,0,292,0,0,35,0,0.22,0.22,0.22,0.22,0.2407392
8,22,1,0,2.5612333,0,0,0,0.0,20.6,73,0,0,18.9,21.7,20.6,90,76,78,0,436,0,0,95,0,0.22,0.22,0.22,0.22,0.22927038
8,23,1,0,1.4342,0,0,0,0.0,19.4,81,0,0,18.3,21.7,20.6,93,73,78,0,604,0,0,209,0,0.22,0.22,0.22,0.22,0.21529473
8,24,1,0,2.1675583,0,0,0,0.0,20.0,81,0,0,18.9,22.2,19.4,90,71,79,15,589,0,14,144,0,0.22,0.22,0.22,0.22,0.19157887
8,1,2,0,2.9009166,0,0,0,0.0,19.4,87,0,0,20.0,21.0,20.0,87,78,78,116,554,0,42,133,0,0.22,0.22,0.22,0.22,0.17271361
8,2,2,0,2.2597833,0,0,0,0.0,19.4,87,0,0,20.0,21.0,19.4,87,78,84,252,907,0,74,685,0,0.22,0.22,0.22,0.22,0.1668173
8,3,2,0,1.4480667,0,0,0,0.0,19.4,90,0,0,20.0,22.8,19.4,84,68,84,292,789,0,35,777,0,0.22,0.22,0.22,0.22,0.16352855
8,4,2,0,1.1343666,0,0,0,0.0,18.9,90,0,0,21.7,22.8,19.4,76,67,84,436,631,0,95,703,0,0.22,0.22,0.54,0.22,0.16253123
8,5,2,0,0.35226667,0,0,0,0.0,18.3,93,0,0,21.7,22.2,18.9,73,68,87,604,443,0,209,585,0,0.22,0.22,0.54,0.22,0.16735874
8,6,2,0,0.34945,0,0,0,5.7625,18.9,90,15,14,22.2,23.3,19.4,71,79,84,589,245,27,144,337,144,0.22,0.22,0.54,0.22,0.1707615
8,7,2,0,1.7421,0,0,0,29.445833,20.0,87,116,42,21.0,22.8,21.1,78,68,76,554,27,192,133,147,395,0.22,0.22,0.54,0.22,0.18388951
8,8,2,0,0.60545,0,0,0,94.69583,20.0,87,252,74,21.0,22.8,22.8,78,61,66,907,0,404,685,0,609,0.22,0.22,0.54,0.22,0.19780493
8,9,2,0,2.4703333,0,0,0,221.7,20.0,84,292,35,22.8,20.0,24.4,68,84,64,789,0,611,777,0,730,0.22,0.22,0.22,0.22,0.21082877
8,10,2,0,1.9930333,0,0,0,358.94583,21.7,76,436,95,22.8,20.6,23.9,67,78,66,631,0,778,703,0,793,0.22,0.54,0.22,0.22,0.22337624
8,11,2,0,1.93464165,0,0,0,480.34583,21.7,73,604,209,22.2,20.6,25.0,68,78,62,443,0,897,585,0,811,0.22,0.54,0.22,0.22,0.23930867
8,12,2,0,1.87625,0,0,0,569.8333,22.2,71,589,144,23.3,19.4,25.0,79,79,58,245,0,958,337,0,815,0.22,0.54,0.22,0.22,0.24476917
8,13,2,0,1.30285,0,0,0,613.0333,21.0,78,554,133,22.8,20.0,25.0,68,78,58,27,0,960,147,0,819,0.22,0.54,0.22,0.22,0.24356763
8,14,2,0,1.2250501,0,0,0,619.8375,21.0,78,907,685,22.8,19.4,24.4,61,84,58,0,0,901,0,0,812,0.22,0.54,0.22,0.22,0.24330084
8,15,2,0,1.86098345,0,0,0,584.30835,22.8,68,789,777,20.0,19.4,25.0,84,84,56,0,0,790,0,0,771,0.22,0.22,0.22,0.22,0.24916068
8,16,2,0,2.4969168,0,0,0,508.32916,22.8,67,631,703,20.6,19.4,23.9,78,84,64,0,0,632,0,0,604,0.54,0.22,0.22,0.54,0.25086278
8,17,2,0,0.869,0,0,0,386.25833,22.2,68,443,585,20.6,18.9,23.3,78,87,64,0,0,362,0,0,293,0.54,0.22,0.22,0.54,0.2472611
8,18,2,0,0.30870003,0,0,0,215.46666,23.3,79,245,337,19.4,19.4,22.8,79,84,64,0,27,124,0,144,31,0.54,0.22,0.22,0.54,0.23651384
8,19,2,0,1.3966833,0,0,0,20.479166,22.8,68,27,147,20.0,21.1,22.2,78,76,68,0,192,13,0,395,13,0.54,0.22,0.22,0.54,0.2257806
8,20,2,0,9.918213e-08,0,0,0,0.0,22.8,61,0,0,19.4,22.8,21.1,84,66,78,0,404,0,0,609,0,0.54,0.22,0.22,0.54,0.22176008
8,21,2,0,9.7529096e-08,0,0,0,0.0,20.0,84,0,0,19.4,24.4,20.6,84,64,78,0,611,0,0,730,0,0.22,0.22,0.22,0.22,0.21804756
8,22,2,0,9.918213e-08,0,0,0,0.0,20.6,78,0,0,19.4,23.9,20.6,84,66,73,0,778,0,0,793,0,0.22,0.22,0.22,0.22,0.20633468
8,23,2,0,9.918213e-08,0,0,0,0.0,20.6,78,0,0,18.9,25.0,20.0,87,62,76,0,897,0,0,811,0,0.22,0.22,0.22,0.22,0.19263186
8,24,2,0,9.918213e-08,0,0,0,0.0,19.4,79,0,0,19.4,25.0,18.9,84,58,84,27,958,0,144,815,0,0.22,0.22,0.22,0.22,0.17944553
8,1,3,0,9.918213e-08,0,0,0,0.0,20.0,78,0,0,21.1,25.0,19.4,76,58,81,192,960,0,395,819,0,0.22,0.22,0.22,0.22,0.16495918
8,2,3,0,9.918213e-08,0,0,0,0.0,19.4,84,0,0,22.8,24.4,20.0,66,58,81,404,901,0,609,812,0,0.22,0.22,0.22,0.22,0.15730144
8,3,3,0,9.918213e-08,0,0,0,0.0,19.4,84,0,0,24.4,25.0,19.4,64,56,84,611,790,0,730,771,0,0.22,0.22,0.22,0.22,0.15902838
8,4,3,0,9.918213e-08,0,0,0,0.0,19.4,84,0,0,23.9,23.9,18.9,66,64,87,778,632,0,793,604,0,0.22,0.22,0.54,0.22,0.15689933
8,5,3,0,9.918213e-08,0,0,0,0.0,18.9,87,0,0,25.0,23.3,18.9,62,64,87,897,362,0,811,293,0,0.22,0.22,0.54,0.22,0.15738352
8,6,3,0,9.969076e-08,0,0,0,6.5125,19.4,84,27,144,25.0,22.8,18.9,58,64,87,958,124,13,815,31,7,0.22,0.22,0.54,0.22,0.16790247
8,7,3,0,0.015183425,0,0,0,33.029167,21.1,76,192,395,25.0,22.2,20.0,58,68,81,960,13,80,819,13,5,0.22,0.22,0.54,0.22,0.17872274
8,8,3,0,0.31670004,0,0,0,95.0125,22.8,66,404,609,24.4,21.1,21.1,58,78,76,901,0,418,812,0,512,0.22,0.22,0.54,0.22,0.20311522
8,9,3,0,1.3032666,0,0,0,211.79584,24.4,64,611,730,25.0,20.6,23.9,56,78,64,790,0,616,771,0,736,0.22,0.22,0.22,0.22,0.21381462
8,10,3,0,2.5682666,0,0,0,340.425,23.9,66,778,793,23.9,20.6,25.6,64,73,60,632,0,778,604,0,793,0.22,0.54,0.22,0.22,0.21551497
8,11,3,0,1.1945833,0,0,0,497.02084,25.0,62,897,811,23.3,20.0,23.3,64,76,71,362,0,897,293,0,739,0.22,0.54,0.22,0.22,0.2312306
8,12,3,0,1.3531,0,0,0,582.4625,25.0,58,958,815,22.8,18.9,22.2,64,84,71,124,0,720,31,0,276,0.22,0.54,0.22,0.22,0.24023743
8,13,3,0,2.128,0,0,0,629.625,25.0,58,960,819,22.2,19.4,22.2,68,81,71,13,0,474,13,0,66,0.22,0.54,0.22,0.22,0.24554762
8,14,3,0,2.9029,0,0,0,638.3333,24.4,58,901,812,21.1,20.0,22.2,78,81,73,0,0,441,0,0,30,0.22,0.54,0.22,0.22,0.24369626
8,15,3,0,2.5867055666666667,0,0,0,603.0125,25.0,56,790,771,20.6,19.4,21.7,78,84,76,0,0,328,0,0,18,0.22,0.22,0.22,0.22,0.24565277
8,16,3,0,2.270511133333333,0,0,0,520.8875,23.9,64,632,604,20.6,18.9,20.6,73,87,81,0,0,446,0,0,206,0.54,0.22,0.22,0.54,0.24907608
8,17,3,0,1.9543167,0,0,0,394.57083,23.3,64,362,293,20.0,18.9,20.0,76,87,81,0,0,437,0,0,482,0.54,0.22,0.22,0.54,0.24751402
8,18,3,0,0.23120005,0,0,0,216.3875,22.8,64,124,31,18.9,18.9,20.0,84,87,78,0,13,239,0,7,325,0.54,0.22,0.22,0.54,0.24996853
8,19,3,0,9.880066e-08,0,0,0,18.829166,22.2,68,13,13,19.4,20.0,19.4,81,81,81,0,80,23,0,5,135,0.54,0.22,0.22,0.54,0.251276
8,20,3,0,9.918213e-08,0,0,0,0.0,21.1,78,0,0,20.0,21.1,19.4,81,76,79,0,418,0,0,512,0,0.54,0.22,0.22,0.54,0.24560243
8,21,3,0,9.918213e-08,0,0,0,0.0,20.6,78,0,0,19.4,23.9,19.4,84,64,84,0,616,0,0,736,0,0.22,0.22,0.22,0.22,0.23783484
8,22,3,0,9.918213e-08,0,0,0,0.0,20.6,73,0,0,18.9,25.6,18.9,87,60,84,0,778,0,0,793,0,0.22,0.22,0.22,0.22,0.21481025
8,23,3,0,9.918213e-08,0,0,0,0.0,20.0,76,0,0,18.9,23.3,18.9,87,71,87,0,897,0,0,739,0,0.22,0.22,0.22,0.22,0.1966851
8,24,3,0,9.918213e-08,0,0,0,0.0,18.9,84,0,0,18.9,22.2,20.0,87,71,68,13,720,0,7,276,0,0.22,0.22,0.22,0.22,0.175584
8,1,4,0,9.918213e-08,0,0,0,0.0,19.4,81,0,0,20.0,22.2,18.9,81,71,84,80,474,0,5,66,0,0.22,0.22,0.22,0.22,0.17025222
8,2,4,0,9.918213e-08,0,0,0,0.0,20.0,81,0,0,21.1,22.2,20.0,76,73,78,418,441,0,512,30,0,0.22,0.22,0.22,0.22,0.15808403
8,3,4,0,9.918213e-08,0,0,0,0.0,19.4,84,0,0,23.9,21.7,19.4,64,76,81,616,328,0,736,18,0,0.22,0.22,0.22,0.22,0.15693438
8,4,4,0,9.921392e-08,0,0,0,0.0,18.9,87,0,0,25.6,20.6,19.4,60,81,81,778,446,0,793,206,0,0.22,0.22,0.54,0.22,0.1608465
8,5,4,0,0.16690005,0,0,0,0.0,18.9,87,0,0,23.3,20.0,19.4,71,81,81,897,437,0,739,482,0,0.22,0.22,0.54,0.22,0.16770287
8,6,4,0,0.37108332,0,0,0,3.8166666,18.9,87,13,7,22.2,20.0,19.4,71,78,79,720,239,18,276,325,52,0.22,0.22,0.54,0.22,0.16900943
8,7,4,0,0.41593334,0,0,0,33.879166,20.0,81,80,5,22.2,19.4,20.0,71,81,76,474,23,111,66,135,47,0.22,0.22,0.54,0.22,0.1827239
8,8,4,0,0.48873332,0,0,0,93.92083,21.1,76,418,512,22.2,19.4,20.0,73,79,78,441,0,218,30,0,28,0.22,0.22,0.54,0.22,0.2001486
8,9,4,0,1.0086334,0,0,0,221.9875,23.9,64,616,736,21.7,19.4,20.6,76,84,73,328,0,355,18,0,88,0.22,0.22,0.22,0.22,0.20599447
8,10,4,0,1.2675667,0,0,0,364.21667,25.6,60,778,793,20.6,18.9,21.1,81,84,73,446,0,386,206,0,41,0.22,0.54,0.22,0.22,0.2118524
8,11,4,0,0.44953334,0,0,0,482.71667,23.3,71,897,739,20.0,18.9,21.7,81,87,73,437,0,615,482,0,262,0.22,0.54,0.22,0.22,0.2260207
8,12,4,0,1.8291667,0,0,0,570.9792,22.2,71,720,276,20.0,20.0,21.7,78,68,70,239,0,958,325,0,749,0.22,0.54,0.22,0.22,0.22795987
8,13,4,0,2.4162333,0,0,0,622.7167,22.2,71,474,66,19.4,18.9,21.7,81,84,73,23,0,960,135,0,819,0.22,0.54,0.22,0.22,0.2254461
8,14,4,0,2.5852916500000003,0,0,0,635.5833,22.2,73,441,30,19.4,20.0,21.1,79,78,76,0,0,901,0,0,812,0.22,0.54,0.22,0.22,0.22483824
8,15,4,0,2.75435,0,0,0,604.79584,21.7,76,328,18,19.4,19.4,20.6,84,81,75,0,0,784,0,0,771,0.22,0.22,0.22,0.22,0.23203483
8,16,4,0,2.775,0,0,0,516.6875,20.6,81,446,206,18.9,19.4,20.0,84,81,78,0,0,626,0,0,698,0.54,0.22,0.22,0.54,0.2323185
8,17,4,0,2.59095,0,0,0,382.3375,20.0,81,437,482,18.9,19.4,20.0,87,81,78,0,0,438,0,0,580,0.54,0.22,0.22,0.54,0.234056
8,18,4,0,2.4160333,0,0,0,202.85417,20.0,78,239,325,20.0,19.4,19.4,68,79,79,0,18,242,0,52,319,0.54,0.22,0.22,0.54,0.23350044
8,19,4,0,2.2407832,0,0,0,16.154167,19.4,81,23,135,18.9,20.0,19.4,84,76,79,0,111,22,0,47,129,0.54,0.22,0.22,0.54,0.22279812
8,20,4,0,2.1395333,0,0,0,0.0,19.4,79,0,0,20.0,20.0,19.4,78,78,76,0,218,0,0,28,0,0.54,0.22,0.22,0.54,0.2189764
8,21,4,0,2.7544668,0,0,0,0.0,19.4,84,0,0,19.4,20.6,19.4,81,73,76,0,355,0,0,88,0,0.22,0.22,0.22,0.22,0.21173024
8,22,4,0,2.7236166,0,0,0,0.0,18.9,84,0,0,19.4,21.1,19.4,81,73,76,0,386,0,0,41,0,0.22,0.22,0.22,0.22,0.19274442
8,23,4,0,1.3486333,0,0,0,0.0,18.9,87,0,0,19.4,21.7,20.0,81,73,73,0,615,0,0,262,0,0.22,0.22,0.22,0.22,0.16745
8,24,4,0,1.3118583,0,0,0,0.0,20.0,68,0,0,19.4,21.7,18.9,79,70,78,18,958,0,52,749,0,0.22,0.22,0.22,0.22,0.15570733
8,1,5,0,0.32428333,0,0,0,0.0,18.9,84,0,0,20.0,21.7,20.0,76,73,68,111,960,0,47,819,0,0.22,0.22,0.22,0.22,0.15013929
8,2,5,0,1.0728166,0,0,0,0.0,20.0,78,0,0,20.0,21.1,19.4,78,76,73,218,901,0,28,812,0,0.22,0.22,0.22,0.22,0.14473735
8,3,5,0,0.32325,0,0,0,0.0,19.4,81,0,0,20.6,20.6,20.0,73,75,65,355,784,0,88,771,0,0.22,0.22,0.22,0.22,0.1524545
8,4,5,0,0.32686666,0,0,0,0.0,19.4,81,0,0,21.1,20.0,20.0,73,78,63,386,626,0,41,698,0,0.22,0.22,0.54,0.22,0.15228155
8,5,5,0,0.32085,0,0,0,0.0,19.4,81,0,0,21.7,20.0,20.0,73,78,63,615,438,0,262,580,0,0.22,0.22,0.54,0.22,0.16260153
8,6,5,0,0.3873,0,0,0,5.2708335,19.4,79,18,52,21.7,19.4,20.0,70,79,63,958,242,9,749,319,0,0.22,0.22,0.54,0.22,0.16399032
8,7,5,0,1.0531334,0,0,0,33.433334,20.0,76,111,47,21.7,19.4,20.0,73,79,63,960,22,144,819,129,168,0.22,0.22,0.54,0.22,0.17502496
8,8,5,0,1.6359167,0,0,0,101.02917,20.0,78,218,28,21.1,19.4,21.1,76,76,59,901,0,152,812,0,11,0.22,0.22,0.54,0.22,0.18512607
8,9,5,0,1.6890666,0,0,0,223.27083,20.6,73,355,88,20.6,19.4,21.7,75,76,57,784,0,427,771,0,210,0.22,0.22,0.22,0.22,0.19491634
8,10,5,0,1.9958333,0,0,0,364.19168,21.1,73,386,41,20.0,19.4,21.1,78,76,68,626,0,618,698,0,343,0.22,0.54,0.22,0.22,0.20418933
8,11,5,0,1.8122667,0,0,0,488.875,21.7,73,615,262,20.0,20.0,21.1,78,73,66,438,0,810,580,0,572,0.22,0.54,0.22,0.22,0.22145621
8,12,5,0,1.72756336,0,0,0,580.6625,21.7,70,958,749,19.4,18.9,22.2,79,78,61,242,0,875,319,0,593,0.22,0.54,0.22,0.22,0.21505424
8,13,5,0,1.6428600199999999,0,0,0,632.3958,21.7,73,960,819,19.4,20.0,22.8,79,68,61,22,0,677,129,0,259,0.22,0.54,0.22,0.22,0.20845915
8,14,5,0,1.55815668,0,0,0,640.8958,21.1,76,901,812,19.4,19.4,22.2,76,73,66,0,0,786,0,0,497,0.22,0.54,0.22,0.22,0.20262869
8,15,5,0,1.4734533399999998,0,0,0,608.9,20.6,75,784,771,19.4,20.0,22.2,76,65,61,0,0,711,0,0,569,0.22,0.22,0.22,0.22,0.19823301
8,16,5,0,1.38875,0,0,0,528.4167,20.0,78,626,698,19.4,20.0,21.7,76,63,61,0,0,526,0,0,436,0.54,0.22,0.22,0.4,0.19353756
8,17,5,0,2.00315,0,0,0,404.23334,20.0,78,438,580,20.0,20.0,20.6,73,63,68,0,0,356,0,0,333,0.54,0.22,0.22,0.4,0.19759627
8,18,5,0,2.8486533,0,0,0,232.53,19.4,79,242,319,18.9,20.0,20.0,78,63,70,0,9,193,0,0,195,0.54,0.22,0.22,0.4,0.2107975
8,19,5,0,1.2497833,0,0,0,14.366667,19.4,79,22,129,20.0,20.0,19.4,68,63,73,0,144,17,0,168,77,0.54,0.22,0.22,0.4,0.21276861
8,20,5,0,0.51661664,0,0,0,0.0,19.4,76,0,0,19.4,21.1,19.4,73,59,76,0,152,0,0,11,0,0.54,0.22,0.22,0.4,0.21097414
